ROI Label,ROI Name,R,A,S,Label Name,Network Name,Full Component Name
167,17Networks_RH_ContA_PFCd_1,26,8,58,17Networks_RH_ContA_PFCd,control A,dorsal prefrontal cortex
168,17Networks_RH_ContA_PFCl_1,52,10,20,17Networks_RH_ContA_PFCl,control A,lateral prefrontal cortex
169,17Networks_RH_ContA_PFCl_2,46,24,26,17Networks_RH_ContA_PFCl,control A,lateral prefrontal cortex
170,17Networks_RH_ContA_Cingm_1,4,2,30,17Networks_RH_ContA_Cingm,control A,mid-cingulate
171,17Networks_RH_ContB_Temp_1,60,-12,-20,17Networks_RH_ContB_Temp,control B,temporal
172,17Networks_RH_ContB_Temp_2,62,-42,-12,17Networks_RH_ContB_Temp,control B,temporal
173,17Networks_RH_ContB_IPL_1,50,-58,44,17Networks_RH_ContB_IPL,control B,inferior parietal lobule
174,17Networks_RH_ContB_IPL_2,52,-42,48,17Networks_RH_ContB_IPL,control B,inferior parietal lobule
175,17Networks_RH_ContB_PFCld_1,40,34,38,17Networks_RH_ContB_PFCld,control B,lateral dorsal prefrontal cortex
176,17Networks_RH_ContB_PFCld_2,42,14,48,17Networks_RH_ContB_PFCld,control B,lateral dorsal prefrontal cortex
177,17Networks_RH_ContB_PFClv_1,36,46,-14,17Networks_RH_ContB_PFClv,control B,lateral ventral prefrontal cortex
178,17Networks_RH_ContB_PFClv_2,30,58,4,17Networks_RH_ContB_PFClv,control B,lateral ventral prefrontal cortex
179,17Networks_RH_ContB_PFCmp_1,8,24,56,17Networks_RH_ContB_PFCmp,control B,medial posterior prefrontal cortex
180,17Networks_RH_ContB_PFCld_3,24,24,54,17Networks_RH_ContB_PFCld,control B,lateral dorsal prefrontal cortex
181,17Networks_RH_ContC_pCun_1,14,-70,36,17Networks_RH_ContC_pCun,control C,precuneus
182,17Networks_RH_ContC_pCun_2,6,-58,44,17Networks_RH_ContC_pCun,control C,precuneus
183,17Networks_RH_ContC_Cingp_1,6,-24,30,17Networks_RH_ContC_Cingp,control C,cingulate posterior
184,17Networks_RH_DefaultA_IPL_1,54,-50,28,17Networks_RH_DefaultA_IPL,default A,inferior parietal lobule
185,17Networks_RH_DefaultA_PFCd_1,28,30,42,17Networks_RH_DefaultA_PFCd,default A,dorsal prefrontal cortex
186,17Networks_RH_DefaultA_pCunPCC_1,6,-48,30,17Networks_RH_DefaultA_pCunPCC,default A,precuneus posterior cingulate cortex
187,17Networks_RH_DefaultA_PFCm_1,8,42,4,17Networks_RH_DefaultA_PFCm,default A,medial prefrontal cortex
188,17Networks_RH_DefaultA_PFCm_2,6,28,16,17Networks_RH_DefaultA_PFCm,default A,medial prefrontal cortex
189,17Networks_RH_DefaultA_PFCm_3,8,58,18,17Networks_RH_DefaultA_PFCm,default A,medial prefrontal cortex
190,17Networks_RH_DefaultB_Temp_1,62,-26,-6,17Networks_RH_DefaultB_Temp,default B,temporal
191,17Networks_RH_DefaultB_AntTemp_1,48,12,-30,17Networks_RH_DefaultB_AntTemp,default B,anterior temporal
192,17Networks_RH_DefaultB_PFCd_1,16,46,44,17Networks_RH_DefaultB_PFCd,default B,dorsal prefrontal cortex
193,17Networks_RH_DefaultB_PFCv_1,50,28,0,17Networks_RH_DefaultB_PFCv,default B,ventral prefrontal cortex
194,17Networks_RH_DefaultC_IPL_1,46,-70,28,17Networks_RH_DefaultC_IPL,default C,inferior parietal lobule
195,17Networks_RH_DefaultC_Rsp_1,12,-54,14,17Networks_RH_DefaultC_Rsp,default C,retrosplenial 
196,17Networks_RH_DefaultC_PHC_1,28,-36,-14,17Networks_RH_DefaultC_PHC,default C,parahippocampal cortex
197,17Networks_RH_TempPar_1,54,-6,-10,17Networks_RH_TempPar,temporal parietal,temporal parietal
198,17Networks_RH_TempPar_2,52,-32,2,17Networks_RH_TempPar,temporal parietal,temporal parietal
199,17Networks_RH_TempPar_3,58,-46,10,17Networks_RH_TempPar,temporal parietal,temporal parietal
200,17Networks_RH_TempPar_4,60,-38,16,17Networks_RH_TempPar,temporal parietal,temporal parietal
